sample,time_s,az_ms2
0,0.000000,-0.038283
1,0.004602,-0.039879
2,0.009297,-0.013762
3,0.013991,-0.005269
4,0.018686,0.007575
5,0.023381,0.000340
6,0.028076,0.000297
7,0.032771,-0.027389
8,0.037466,-0.007422
9,0.042160,0.021529
10,0.046855,0.004379
11,0.051550,-0.002583
12,0.056245,-0.015728
13,0.060940,0.000952
14,0.065635,0.007621
15,0.070330,0.011679
16,0.075024,0.001991
17,0.079719,-0.013983
18,0.084414,0.023088
19,0.089109,0.010594
20,0.093804,0.007832
21,0.098499,-0.006242
22,0.103194,-0.003692
23,0.107888,-0.008137
24,0.112583,-0.010124
25,0.117278,0.015596
26,0.121973,-0.008033
27,0.126668,-0.010063
28,0.131363,-0.002789
29,0.136058,-0.011961
30,0.140752,-0.009268
31,0.145447,0.009578
32,0.150142,-0.009283
33,0.154837,-0.002047
34,0.159532,-0.018273
35,0.164227,0.014812
36,0.168921,-0.001888
37,0.173616,-0.006503
38,0.178311,0.012323
39,0.183006,-0.001985
40,0.187701,-0.013618
41,0.192396,0.005396
42,0.197091,-0.008755
43,0.201785,-0.017919
44,0.206480,0.001199
45,0.211175,0.001175
46,0.215870,0.003492
47,0.220565,0.003422
48,0.225260,-0.015405
49,0.229954,-0.003372
50,0.234649,-0.003307
51,0.239344,-0.014983
52,0.244039,0.004080
53,0.248734,0.004005
54,0.253429,0.018034
55,0.258124,0.013016
56,0.262818,0.008089
57,0.267513,-0.027331
58,0.272208,-0.012758
59,0.276903,0.020400
60,0.281598,-0.015242
61,0.286293,0.006194
62,0.290988,-0.005678
63,0.295682,-0.017369
64,0.300377,-0.005322
65,0.305072,-0.000531
66,0.309767,0.006552
67,0.314462,-0.002975
68,0.319157,-0.010010
69,0.323851,0.001926
70,0.328546,-0.014618
71,0.333241,-0.068699
72,0.337936,0.066775
73,0.342631,0.106022
74,0.347326,-0.124421
75,0.352021,-0.037785
76,0.356715,0.092619
77,0.361410,-0.012503
78,0.366105,-0.061967
79,0.370800,0.014417
80,0.375495,0.035512
81,0.380190,-0.012190
82,0.384884,-0.026230
83,0.389579,-0.018831
84,0.394274,-0.011518
85,0.398969,-0.044497
86,0.403664,0.086118
87,0.408359,0.052029
88,0.413054,-0.081058
89,0.417748,-0.004441
90,0.422443,0.099746
91,0.427138,-0.064650
92,0.431833,-0.073430
93,0.436528,0.081231
94,0.441223,-0.000124
95,0.445918,-0.068792
96,0.450612,0.052699
97,0.455307,0.021371
98,0.460002,-0.054645
99,0.464697,0.024077
100,0.469392,0.045161
101,0.474087,-0.016885
102,0.478781,0.004606
103,0.483476,0.004560
104,0.488171,-0.031039
105,0.492866,0.009549
106,0.497561,0.033167
107,0.502256,0.009153
108,0.506951,-0.026496
109,0.511645,-0.016771
110,0.516340,0.009464
111,0.521035,-0.002476
112,0.525730,-0.007195
113,0.530425,0.014215
114,0.535120,-0.007257
115,0.539815,0.011784
116,0.544509,-0.000180
117,0.549204,-0.007296
118,0.553899,-0.009607
119,0.558594,0.011829
120,0.563289,0.009358
121,0.567984,0.004538
122,0.572678,0.018738
123,0.577373,0.001973
124,0.582068,-0.019401
125,0.586763,-0.002629
126,0.591458,-0.004980
127,0.596153,-0.019175
128,0.600848,-0.002403
129,0.605542,0.004736
130,0.610237,-0.035643
131,0.614932,0.002622
132,0.619627,0.059546
133,0.624322,-0.040609
134,0.629017,0.007186
135,0.633711,-0.004739
136,0.638406,0.016655
137,0.643101,-0.000095
138,0.647796,-0.002466
139,0.652491,0.009418
140,0.657186,0.014083
141,0.661881,0.009221
142,0.666575,0.006770
143,0.671270,0.028068
144,0.675965,0.008852
145,0.680660,0.018270
146,0.685355,-0.010356
147,0.690050,0.011087
148,0.694744,-0.024598
149,0.699439,0.001709
150,0.704134,0.020679
151,0.708829,-0.034069
152,0.713524,-0.000566
153,0.718219,0.011306
154,0.722914,-0.024382
155,0.727608,-0.007566
156,0.732303,-0.009878
157,0.736998,-0.007422
158,0.741693,-0.000243
159,0.746388,-0.000240
160,0.751083,-0.009729
161,0.755777,0.014080
162,0.760472,-0.014510
163,0.765167,0.030693
164,0.769862,-0.009901
165,0.774557,-0.050158
166,0.779252,0.016699
167,0.783947,0.021305
168,0.788641,-0.026328
169,0.793336,0.018975
170,0.798031,0.018816
171,0.802726,-0.012189
172,0.807421,-0.012087
173,0.812116,0.004622
174,0.816811,-0.002537
175,0.821505,0.004604
176,0.826200,0.006941
177,0.830895,-0.021595
178,0.835594,-0.002433
179,0.840285,-0.002413
180,0.844980,0.004726
181,0.849674,-0.007176
182,0.854369,0.011868
183,0.859064,0.004647
184,0.863759,0.009356
185,0.868454,0.025890
186,0.873149,-0.009919
187,0.877844,0.021012
188,0.882538,-0.005262
189,0.887233,-0.036065
190,0.891928,0.009320
191,0.896623,0.002125
192,0.901318,-0.014501
193,0.906013,-0.000145
194,0.910708,0.025959
195,0.915402,-0.009851
196,0.920097,-0.012140
197,0.924792,0.004570
198,0.929487,0.002157
199,0.934182,-0.004978
200,0.938877,-0.004938
201,0.943571,0.002221
202,0.948266,-0.009663
203,0.952961,-0.014328
204,0.957656,-0.004718
205,0.962351,0.009559
206,0.967046,-0.002383
207,0.971741,-0.016602
208,0.976435,0.009638
209,0.981130,0.004812
210,0.985825,-0.018956
211,0.990520,-0.009309
212,0.995215,0.007380
213,0.999910,0.000197
214,1.004604,-0.016412
215,1.009299,0.005080
216,1.013994,0.021648
217,1.018689,0.000110
218,1.023384,0.016721
219,1.028079,0.018955
220,1.032773,-0.016796
221,1.037468,-0.009538
222,1.042163,-0.007084
223,1.046858,-0.002278
224,1.051553,0.002486
225,1.056248,-0.011773
226,1.060943,0.007309
227,1.065637,0.016739
228,1.070332,-0.009501
229,1.075027,-0.014168
230,1.079722,-0.009304
231,1.084417,-0.004478
232,1.089112,-0.013932
233,1.093807,0.007539
234,1.098501,0.012223
235,1.103196,-0.011607
236,1.107891,0.005100
237,1.112586,-0.004434
238,1.117281,-0.021008
239,1.121976,0.005269
240,1.126670,-0.004266
241,1.131365,-0.001858
242,1.136060,-0.011334
243,1.140755,-0.008867
244,1.145450,0.003070
245,1.150145,-0.011192
246,1.154840,0.005512
247,1.159534,-0.004025
248,1.164229,0.000751
249,1.168924,0.014985
250,1.173619,0.007742
251,1.178314,-0.001813
252,1.183009,0.014812
253,1.187703,0.014688
254,1.192398,0.000329
255,1.197093,0.016937
256,1.201788,0.000185
257,1.206483,0.007304
258,1.211178,0.016735
259,1.215872,-0.009507
260,1.220567,-0.014174
261,1.225262,-0.004563
262,1.229957,0.002595
263,1.234652,-0.004547
264,1.239347,-0.002135
265,1.244042,0.019238
266,1.248736,0.009586
267,1.253431,0.000014
268,1.258126,-0.007103
269,1.262821,0.009566
270,1.267516,0.026096
271,1.272211,0.009269
272,1.276906,0.002074
273,1.281600,0.011550
274,1.286295,-0.009906
275,1.290990,0.004415
276,1.295685,-0.009858
277,1.300380,0.011583
278,1.305075,-0.016988
279,1.309769,0.014002
280,1.314464,0.002021
281,1.319159,-0.009861
282,1.323854,0.016324
283,1.328549,-0.005166
284,1.333244,-0.012243
285,1.337939,-0.000278
286,1.342633,0.004471
287,1.347328,-0.000312
288,1.352023,-0.005053
289,1.356718,0.004479
290,1.361413,-0.012169
291,1.366108,-0.014440
292,1.370802,0.011783
293,1.375497,-0.000181
294,1.380192,-0.002551
295,1.384887,-0.012022
296,1.389582,-0.002430
297,1.394277,0.002337
298,1.398972,-0.002430
299,1.403666,-0.000038
300,1.408361,0.002337
301,1.413056,0.004692
302,1.417751,0.009400
303,1.422446,-0.000171
304,1.427141,0.002204
305,1.431835,0.021168
306,1.436530,-0.002737
307,1.441225,0.004404
308,1.445920,0.006739
309,1.450615,-0.007553
310,1.455310,-0.002744
311,1.460005,0.006771
312,1.464699,0.001966
313,1.469394,0.011442
314,1.474089,0.011346
315,1.478784,-0.002989
316,1.483479,-0.010084
317,1.488174,-0.000509
318,1.492868,-0.019485
319,1.497563,0.006779
320,1.502258,0.009096
321,1.506953,0.011395
322,1.511648,-0.010059
323,1.516343,0.004263
324,1.521037,-0.000521
325,1.525732,-0.007634
326,1.530427,-0.009943
327,1.535122,0.004377
328,1.539817,-0.019388
329,1.544512,0.006874
330,1.549207,-0.016912
331,1.553901,0.002213
332,1.558596,0.006939
333,1.563291,0.011628
334,1.567986,0.002038
335,1.572681,-0.000355
336,1.577376,0.002021
337,1.582070,-0.012232
338,1.586765,0.002109
339,1.591460,-0.009774
340,1.596155,-0.012068
341,1.600850,0.002268
342,1.605545,-0.000125
343,1.610240,0.014115
344,1.614934,-0.002613
345,1.619629,0.004528
346,1.624324,-0.012119
347,1.629019,-0.014389
348,1.633714,-0.002404
349,1.638409,-0.000012
350,1.643103,-0.000011
351,1.647798,-0.004758
352,1.652493,0.007147
353,1.657188,0.007089
