sample,time_s,az_ms2
0,0.000000,-0.014365
1,0.004000,-0.004788
2,0.008000,0.047884
3,0.012000,0.038307
4,0.016000,0.119710
5,0.020000,-0.016759
6,0.024000,-0.009577
7,0.028000,0.043096
8,0.032000,-0.028730
9,0.036000,0.064643
10,0.040000,-0.014365
11,0.044000,0.004788
12,0.048000,0.043096
13,0.052000,-0.033519
14,0.056000,0.026336
15,0.060000,-0.019154
16,0.064000,-0.028730
17,0.068000,0.062249
18,0.072000,-0.021548
19,0.076000,-0.011971
20,0.080000,0.014365
21,0.084000,0.064643
22,0.088000,-0.014365
23,0.092000,-0.014365
24,0.096000,0.004788
25,0.100000,-0.009577
26,0.104000,0.057461
27,0.108000,0.023942
28,0.112000,-0.040701
29,0.116000,-0.004788
30,0.120000,0.004788
31,0.124000,-0.002394
32,0.128000,0.038307
33,0.132000,-0.026336
34,0.136000,-0.023942
35,0.140000,-0.009577
36,0.144000,0.028730
37,0.148000,-0.011971
38,0.152000,0.038307
39,0.156000,-0.009577
40,0.160000,-0.009577
41,0.164000,-0.090980
42,0.168000,0.043096
43,0.172000,-0.011971
44,0.176000,-0.045490
45,0.180000,0.002394
46,0.184000,-0.014365
47,0.188000,-0.069432
48,0.192000,0.033519
49,0.196000,0.033519
50,0.200000,-0.021548
51,0.204000,0.009577
52,0.208000,0.023942
53,0.212000,0.055067
54,0.216000,-0.011971
55,0.220000,-0.028730
56,0.224000,-0.023942
57,0.228000,0.055067
58,0.232000,0.045490
59,0.236000,0.023942
60,0.240000,-0.031125
61,0.244000,0.028730
62,0.248000,0.002394
63,0.252000,0.007183
64,0.256000,-0.026336
65,0.260000,0.007183
66,0.264000,-0.016759
67,0.268000,-0.019154
68,0.272000,0.002394
69,0.276000,0.026336
70,0.280000,0.011971
71,0.284000,0.021548
72,0.288000,0.050278
73,0.292000,0.028730
74,0.296000,0.011971
75,0.300000,0.011971
76,0.304000,-0.045490
77,0.308000,0.067038
78,0.312000,-0.047884
79,0.316000,0.043096
80,0.320000,0.129287
81,0.324000,-0.043096
82,0.328000,-0.009577
83,0.332000,-0.031125
84,0.336000,-0.002394
85,0.340000,0.014365
86,0.344000,0.016759
87,0.348000,0.026336
88,0.352000,0.026336
89,0.356000,-0.011971
90,0.360000,-0.014365
91,0.364000,0.031125
92,0.368000,0.040701
93,0.372000,0.002394
94,0.376000,-0.038307
95,0.380000,0.000000
96,0.384000,0.050278
97,0.388000,0.021548
98,0.392000,0.052672
99,0.396000,0.052672
100,0.400000,-0.016759
101,0.404000,0.028730
102,0.408000,-0.040701
103,0.412000,-0.002394
104,0.416000,0.016759
105,0.420000,0.004788
106,0.424000,0.040701
107,0.428000,0.016759
108,0.432000,-0.031125
109,0.436000,-0.069432
110,0.440000,0.007183
111,0.444000,0.031125
112,0.448000,0.002394
113,0.452000,0.016759
114,0.456000,-0.002394
115,0.460000,0.028730
116,0.464000,0.026336
117,0.468000,0.040701
118,0.472000,0.002394
119,0.476000,-0.035913
120,0.480000,-0.043096
121,0.484000,-0.002394
122,0.488000,0.047884
123,0.492000,-0.023942
124,0.496000,-0.011971
125,0.500000,0.002394
126,0.504000,-0.074220
127,0.508000,-0.026336
128,0.512000,-0.047884
129,0.516000,-0.011971
130,0.520000,-0.023942
131,0.524000,0.033519
132,0.528000,-0.009577
133,0.532000,0.004788
134,0.536000,-0.047884
135,0.540000,-0.004788
136,0.544000,-0.043096
137,0.548000,-0.002394
138,0.552000,-0.021548
139,0.556000,0.019154
140,0.560000,0.062249
141,0.564000,0.004788
142,0.568000,0.026336
143,0.572000,0.031125
144,0.576000,-0.021548
145,0.580000,0.076614
146,0.584000,-0.021548
147,0.588000,0.002394
148,0.592000,0.011971
149,0.596000,0.064643
150,0.600000,0.014365
151,0.604000,-0.069432
152,0.608000,-0.019154
153,0.612000,0.050278
154,0.616000,-0.059855
155,0.620000,-0.031125
156,0.624000,0.033519
157,0.628000,0.019154
158,0.632000,-0.026336
159,0.636000,0.021548
160,0.640000,-0.026336
161,0.644000,-0.011971
162,0.648000,0.028730
163,0.652000,-0.023942
164,0.656000,-0.011971
165,0.660000,-0.047884
166,0.664000,-0.004788
167,0.668000,0.040701
168,0.672000,-0.035913
169,0.676000,0.016759
170,0.680000,0.047884
171,0.684000,0.002394
172,0.688000,-0.016759
173,0.692000,0.086191
