�sample,time_s,az_ms2
0,0.000000,-0.016161
1,0.004000,-0.008978
2,0.008000,0.019752
3,0.012000,0.010175
4,0.016000,-0.064045
5,0.020000,-0.061651
6,0.024000,-0.008978
7,0.028000,-0.001796
8,0.032000,-0.095170
9,0.036000,0.005387
10,0.040000,-0.073622
11,0.044000,0.038906
12,0.048000,-0.023343
13,0.052000,-0.037709
14,0.056000,0.055665
15,0.060000,-0.023343
16,0.064000,0.036512
17,0.068000,0.010175
18,0.072000,0.007781
19,0.076000,-0.001796
20,0.080000,0.058059
21,0.084000,0.053271
22,0.088000,0.024541
23,0.092000,-0.008978
24,0.096000,-0.028132
25,0.100000,0.022146
26,0.104000,0.002993
27,0.108000,-0.056862
28,0.112000,-0.071227
29,0.116000,-0.071227
30,0.120000,-0.023343
31,0.124000,-0.040103
32,0.128000,0.048483
33,0.132000,0.026935
34,0.136000,0.007781
35,0.140000,-0.030526
36,0.144000,-0.071227
37,0.148000,-0.035314
38,0.152000,-0.030526
39,0.156000,0.005387
40,0.160000,-0.044891
41,0.164000,-0.059256
42,0.168000,0.041300
43,0.172000,0.002993
44,0.176000,0.026935
45,0.180000,-0.025738
46,0.184000,-0.008978
47,0.188000,0.022146
48,0.192000,-0.001796
49,0.196000,-0.020949
50,0.200000,-0.066439
51,0.204000,-0.023343
52,0.208000,-0.023343
53,0.212000,-0.001796
54,0.216000,-0.042497
55,0.220000,-0.032920
56,0.224000,0.022146
57,0.228000,0.012570
58,0.232000,-0.016161
59,0.236000,0.058059
60,0.240000,-0.006584
61,0.244000,0.026935
62,0.248000,-0.025738
63,0.252000,0.019752
64,0.256000,-0.013767
65,0.260000,0.022146
66,0.264000,0.029329
67,0.268000,0.108338
68,0.272000,-0.018555
69,0.276000,0.038906
70,0.280000,-0.016161
71,0.284000,-0.030526
72,0.288000,-0.020949
73,0.292000,-0.061651
74,0.296000,0.014964
75,0.300000,0.029329
76,0.304000,0.017358
77,0.308000,-0.042497
78,0.312000,0.067636
79,0.316000,-0.030526
80,0.320000,-0.040103
81,0.324000,0.072425
82,0.328000,0.029329
83,0.332000,0.065242
84,0.336000,-0.032920
85,0.340000,0.000599
86,0.344000,-0.006584
87,0.348000,0.010175
88,0.352000,-0.040103
89,0.356000,0.002993
90,0.360000,-0.030526
91,0.364000,0.029329
92,0.368000,0.022146
93,0.372000,0.060454
94,0.376000,-0.018555
95,0.380000,-0.013767
96,0.384000,0.002993
97,0.388000,0.007781
98,0.392000,-0.016161
99,0.396000,-0.020949
100,0.400000,-0.020949
101,0.404000,0.019752
102,0.408000,-0.001796
103,0.412000,-0.006584
104,0.416000,0.029329
105,0.420000,-0.013767
106,0.424000,0.038906
107,0.428000,0.046088
108,0.432000,-0.011372
109,0.436000,0.010175
110,0.440000,-0.035314
111,0.444000,-0.080804
112,0.448000,-0.052074
113,0.452000,0.072425
114,0.456000,-0.006584
115,0.460000,0.053271
116,0.464000,-0.044891
117,0.468000,-0.023343
118,0.472000,-0.030526
119,0.476000,-0.013767
120,0.480000,0.010175
121,0.484000,0.038906
122,0.488000,0.065242
123,0.492000,-0.001796
124,0.496000,-0.044891
125,0.500000,-0.011372
126,0.504000,0.053271
127,0.508000,0.060454
128,0.512000,-0.016161
129,0.516000,0.065242
130,0.520000,0.012570
131,0.524000,0.010175
132,0.528000,-0.006584
133,0.532000,0.036512
134,0.536000,-0.059256
135,0.540000,0.065242
136,0.544000,0.067636
137,0.548000,0.065242
138,0.552000,0.010175
139,0.556000,-0.025738
140,0.560000,0.010175
141,0.564000,-0.004190
142,0.568000,0.007781
143,0.572000,0.029329
144,0.576000,-0.004190
145,0.580000,-0.004190
146,0.584000,0.038906
147,0.588000,-0.006584
148,0.592000,-0.011372
149,0.596000,-0.006584
150,0.600000,-0.042497
151,0.604000,0.000599
152,0.608000,-0.006584
153,0.612000,-0.025738
154,0.616000,0.000599
155,0.620000,-0.006584
156,0.624000,0.010175
157,0.628000,-0.059256
158,0.632000,0.017358
159,0.636000,0.022146
160,0.640000,0.017358
161,0.644000,0.014964
162,0.648000,0.031723
163,0.652000,0.043694
164,0.656000,-0.004190
165,0.660000,-0.037709
166,0.664000,0.017358
167,0.668000,0.014964
168,0.672000,-0.044891
169,0.676000,-0.011372
170,0.680000,0.010175
171,0.684000,-0.025738
172,0.688000,0.000599
173,0.692000,0.026935
174,0.696000,-0.064045
175,0.700000,0.000599
176,0.704000,0.005387
177,0.708000,0.012570
178,0.712000,-0.040103
179,0.716000,0.029329
180,0.720000,-0.061651
181,0.724000,0.074819
182,0.728000,-0.037709
183,0.732000,0.029329
184,0.736000,-0.006584
185,0.740000,0.012570
186,0.744000,0.048483
187,0.748000,-0.020949
188,0.752000,0.036512
189,0.756000,-0.044891
190,0.760000,0.043694
191,0.764000,0.000599
192,0.768000,0.041300
193,0.772000,-0.042497
194,0.776000,-0.085593
195,0.780000,-0.078410
196,0.784000,-0.008978
197,0.788000,-0.008978
198,0.792000,0.014964
199,0.796000,-0.013767
200,0.800000,0.014964
201,0.804000,0.082001
202,0.808000,0.046088
203,0.812000,-0.020949
204,0.816000,-0.008978
205,0.820000,0.043694
206,0.824000,-0.085593
207,0.828000,0.007781
208,0.832000,0.029329
209,0.836000,0.022146
210,0.840000,0.000599
211,0.844000,-0.011372
212,0.848000,0.017358
213,0.852000,0.002993
214,0.856000,0.036512
215,0.860000,-0.001796
216,0.864000,0.019752
217,0.868000,-0.085593
218,0.872000,0.002993
219,0.876000,-0.006584
220,0.880000,-0.059256
221,0.884000,0.029329
222,0.888000,0.017358
223,0.892000,0.019752
224,0.896000,-0.006584
225,0.900000,-0.064045
226,0.904000,-0.011372
227,0.908000,0.036512
228,0.912000,-0.052074
229,0.916000,0.053271
230,0.920000,0.036512
231,0.924000,0.026935
232,0.928000,0.007781
233,0.932000,0.043694
234,0.936000,0.036512
235,0.940000,0.043694
236,0.944000,-0.001796
237,0.948000,0.005387
238,0.952000,-0.066439
239,0.956000,0.038906
240,0.960000,0.050877
241,0.964000,0.036512
242,0.968000,0.014964
243,0.972000,0.041300
244,0.976000,-0.071227
245,0.980000,-0.008978
246,0.984000,-0.013767
247,0.988000,0.017358
248,0.992000,0.062848
249,0.996000,-0.011372
250,1.000000,0.038906
251,1.004000,-0.066439
252,1.008000,0.017358
253,1.012000,-0.042497
254,1.016000,-0.035314
255,1.020000,0.024541
256,1.024000,0.067636
257,1.028000,0.024541
258,1.032000,-0.040103
259,1.036000,-0.008978
260,1.040000,-0.016161
261,1.044000,0.041300
262,1.048000,-0.011372
263,1.052000,0.050877
264,1.056000,0.012570
265,1.060000,0.017358
266,1.064000,0.048483
267,1.068000,0.024541
268,1.072000,0.036512
269,1.076000,0.024541
270,1.080000,0.014964
271,1.084000,-0.052074
272,1.088000,0.050877
273,1.092000,-0.068833
274,1.096000,-0.037709
275,1.100000,0.005387
276,1.104000,-0.032920
277,1.108000,0.041300
278,1.112000,-0.042497
279,1.116000,0.005387
280,1.120000,0.034117
281,1.124000,0.050877
282,1.128000,-0.004190
283,1.132000,0.050877
284,1.136000,0.010175
285,1.140000,-0.004190
286,1.144000,-0.006584
287,1.148000,-0.013767
288,1.152000,-0.028132
289,1.156000,-0.020949
290,1.160000,0.005387
291,1.164000,-0.020949
292,1.168000,0.007781
293,1.172000,-0.064045
294,1.176000,0.041300
295,1.180000,0.038906
296,1.184000,0.026935
297,1.188000,-0.023343
298,1.192000,-0.004190
299,1.196000,-0.066439
300,1.200000,-0.004190
301,1.204000,0.024541
302,1.208000,0.012570
303,1.212000,-0.028132
304,1.216000,0.019752
305,1.220000,0.014964
306,1.224000,-0.052074
307,1.228000,-0.018555
308,1.232000,-0.008978
309,1.236000,-0.025738
310,1.240000,0.048483
311,1.244000,0.055665
312,1.248000,0.026935
313,1.252000,0.007781
314,1.256000,0.017358
315,1.260000,0.038906
316,1.264000,-0.047285
317,1.268000,-0.011372
318,1.272000,0.036512
319,1.276000,0.031723
320,1.280000,0.036512
321,1.284000,-0.035314
322,1.288000,-0.008978
323,1.292000,0.053271
324,1.296000,0.010175
325,1.300000,-0.042497
326,1.304000,0.005387
327,1.308000,-0.030526
328,1.312000,0.060454
329,1.316000,-0.037709
330,1.320000,0.010175
331,1.324000,-0.001796
332,1.328000,-0.001796
333,1.332000,0.043694
334,1.336000,0.024541
335,1.340000,0.002993
336,1.344000,0.026935
337,1.348000,-0.006584
338,1.352000,-0.030526
339,1.356000,0.017358
340,1.360000,-0.049680
341,1.364000,0.050877
342,1.368000,0.022146
343,1.372000,0.012570
344,1.376000,0.029329
345,1.380000,-0.032920
346,1.384000,0.036512
347,1.388000,-0.066439
348,1.392000,-0.042497
349,1.396000,-0.011372
350,1.400000,-0.008978
351,1.404000,-0.030526
352,1.408000,-0.016161
353,1.412000,0.024541
354,1.416000,-0.040103
355,1.420000,0.031723
356,1.424000,-0.008978
357,1.428000,0.014964
358,1.432000,-0.059256
359,1.436000,0.005387
360,1.440000,-0.085593
361,1.444000,-0.032920
362,1.448000,-0.052074
363,1.452000,-0.020949
364,1.456000,-0.032920
365,1.460000,0.024541
366,1.464000,-0.056862
367,1.468000,-0.061651
368,1.472000,-0.037709
369,1.476000,0.050877
370,1.480000,-0.018555
371,1.484000,0.014964
372,1.488000,-0.006584
373,1.492000,0.072425
374,1.496000,0.055665
375,1.500000,0.031723
376,1.504000,0.031723
377,1.508000,-0.061651
378,1.512000,-0.047285
379,1.516000,0.041300
380,1.520000,-0.004190
381,1.524000,0.034117
382,1.528000,0.017358
383,1.532000,0.017358
384,1.536000,0.084396
385,1.540000,0.062848
386,1.544000,-0.030526
387,1.548000,0.031723
388,1.552000,0.031723
389,1.556000,-0.016161
390,1.560000,-0.023343
391,1.564000,0.038906
392,1.568000,-0.011372
393,1.572000,-0.001796
394,1.576000,-0.008978
395,1.580000,0.026935
396,1.584000,-0.020949
397,1.588000,0.098761
398,1.592000,0.055665
399,1.596000,0.000599
400,1.600000,0.029329
401,1.604000,0.005387
402,1.608000,-0.071227
403,1.612000,-0.037709
404,1.616000,-0.023343
405,1.620000,-0.023343
406,1.624000,0.048483
407,1.628000,-0.008978
408,1.632000,0.000599
409,1.636000,0.034117
410,1.640000,-0.040103
411,1.644000,-0.085593
412,1.648000,-0.004190
413,1.652000,0.017358
414,1.656000,-0.064045
415,1.660000,-0.008978
416,1.664000,0.034117
417,1.668000,0.005387
418,1.672000,-0.016161
419,1.676000,0.060454
420,1.680000,0.034117
421,1.684000,0.055665
422,1.688000,0.031723
423,1.692000,0.019752
424,1.696000,0.000599
425,1.700000,0.048483
426,1.704000,-0.047285
427,1.708000,0.031723
428,1.712000,0.005387
429,1.716000,-0.013767
430,1.720000,0.043694
431,1.724000,0.000599
432,1.728000,-0.004190
433,1.732000,-0.059256
434,1.736000,-0.025738
435,1.740000,0.029329
436,1.744000,-0.044891
437,1.748000,-0.037709
438,1.752000,-0.006584
439,1.756000,0.031723
440,1.760000,-0.020949
441,1.764000,0.017358
442,1.768000,0.031723
443,1.772000,-0.087987
444,1.776000,0.014964
445,1.780000,0.034117
446,1.784000,-0.001796
447,1.788000,1.736395
448,1.792000,-0.471059
449,1.796000,0.833781
450,1.800000,-0.066439
451,1.804000,-0.157419
452,1.808000,-0.217274
453,1.812000,-0.449511
454,1.816000,0.144251
455,1.820000,-0.272340
456,1.824000,0.220865
457,1.828000,0.041300
458,1.832000,0.041300
459,1.836000,-0.076016
460,1.840000,-0.111929
461,1.844000,0.014964
462,1.848000,-0.109535
463,1.852000,0.070030
464,1.856000,-0.080804
465,1.860000,0.005387
466,1.864000,0.002993
467,1.868000,0.091578
468,1.872000,-0.080804
469,1.876000,-0.037709
470,1.880000,-0.049680
471,1.884000,0.043694
472,1.888000,0.084396
473,1.892000,0.172981
474,1.896000,0.014964
475,1.900000,0.053271
476,1.904000,0.053271
477,1.908000,0.034117
478,1.912000,-0.006584
479,1.916000,-0.025738
480,1.920000,0.012570
481,1.924000,-0.083199
482,1.928000,-0.006584
483,1.932000,-0.023343
484,1.936000,0.014964
485,1.940000,0.074819
486,1.944000,-0.004190
487,1.948000,0.012570
488,1.952000,0.005387
489,1.956000,0.005387
490,1.960000,-0.071227
491,1.964000,-0.090381
492,1.968000,-0.025738
493,1.972000,-0.059256
494,1.976000,-0.011372
495,1.980000,0.012570
496,1.984000,0.041300
497,1.988000,-0.004190
498,1.992000,0.038906
499,1.996000,0.038906
500,2.000000,-0.008978
501,2.004000,0.029329
502,2.008000,-0.008978
503,2.012000,0.002993
504,2.016000,0.002993
505,2.020000,0.024541
506,2.024000,0.031723
507,2.028000,0.053271
508,2.032000,0.096367
509,2.036000,-0.016161
510,2.040000,-0.020949
511,2.044000,0.034117
512,2.048000,-0.004190
513,2.052000,0.012570
514,2.056000,-0.006584
515,2.060000,-0.020949
516,2.064000,-0.004190
517,2.068000,0.000599
518,2.072000,-0.025738
519,2.076000,0.005387
520,2.080000,-0.052074
521,2.084000,-0.008978
522,2.088000,-0.004190
523,2.092000,-0.028132
524,2.096000,-0.016161
525,2.100000,-0.016161
526,2.104000,-0.016161
527,2.108000,-0.119112
528,2.112000,-0.011372
529,2.116000,-0.032920
530,2.120000,-0.023343
531,2.124000,-0.018555
532,2.128000,0.022146
533,2.132000,-0.023343
534,2.136000,-0.013767
535,2.140000,0.026935
536,2.144000,0.043694
537,2.148000,-0.016161
538,2.152000,-0.040103
539,2.156000,0.024541
540,2.160000,0.034117
541,2.164000,0.046088
542,2.168000,-0.052074
543,2.172000,-0.008978
544,2.176000,0.024541
545,2.180000,-0.099958
546,2.184000,0.002993
547,2.188000,0.041300
548,2.192000,0.857723
549,2.196000,-0.392051
550,2.200000,0.560842
551,2.204000,0.108338
552,2.208000,0.125097
553,2.212000,0.208894
554,2.216000,-0.372897
555,2.220000,0.062848
556,2.224000,-0.126294
557,2.228000,-0.073622
558,2.232000,-0.066439
559,2.236000,0.127491
560,2.240000,0.082001
561,2.244000,0.141856
562,2.248000,0.146645
563,2.252000,0.043694
564,2.256000,0.007781
565,2.260000,-0.028132
566,2.264000,-0.083199
567,2.268000,-0.087987
568,2.272000,-0.150236
569,2.276000,0.034117
570,2.280000,-0.011372
571,2.284000,0.026935
572,2.288000,-0.023343
573,2.292000,0.012570
574,2.296000,-0.025738
575,2.300000,-0.040103
576,2.304000,-0.040103
577,2.308000,-0.049680
578,2.312000,-0.008978
579,2.316000,-0.016161
580,2.320000,0.000599
581,2.324000,-0.004190
582,2.328000,0.041300
583,2.332000,0.050877
584,2.336000,0.050877
585,2.340000,0.036512
586,2.344000,0.000599
587,2.348000,0.024541
588,2.352000,0.029329
589,2.356000,-0.006584
590,2.360000,-0.032920
591,2.364000,-0.016161
592,2.368000,-0.044891
593,2.372000,-0.052074
594,2.376000,0.050877
595,2.380000,0.014964
596,2.384000,0.007781
597,2.388000,0.026935
598,2.392000,0.038906
599,2.396000,0.067636
600,2.400000,-0.016161
601,2.404000,0.010175
602,2.408000,0.002993
603,2.412000,-0.011372
604,2.416000,0.014964
605,2.420000,-0.028132
606,2.424000,-0.028132
607,2.428000,-0.018555
608,2.432000,0.000599
609,2.436000,0.058059
610,2.440000,0.005387
611,2.444000,-0.001796
612,2.448000,-0.013767
613,2.452000,0.038906
614,2.456000,-0.040103
615,2.460000,-0.018555
616,2.464000,-0.066439
617,2.468000,0.096367
618,2.472000,0.022146
619,2.476000,0.034117
620,2.480000,-0.020949
621,2.484000,-0.001796
622,2.488000,0.031723
623,2.492000,-0.001796
624,2.496000,-1.866879
625,2.500000,1.099537
626,2.504000,0.041300
627,2.508000,-0.327407
628,2.512000,0.184952
629,2.516000,0.484227
630,2.520000,-0.212485
631,2.524000,-0.023343
632,2.528000,0.074819
633,2.532000,-0.236427
634,2.536000,-0.049680
635,2.540000,-0.028132
636,2.544000,0.043694
637,2.548000,0.026935
638,2.552000,0.117914
639,2.556000,0.079607
640,2.560000,-0.008978
641,2.564000,-0.016161
642,2.568000,-0.030526
643,2.572000,-0.076016
644,2.576000,-0.061651
645,2.580000,-0.164601
646,2.584000,-0.016161
647,2.588000,0.017358
648,2.592000,-0.037709
649,2.596000,0.041300
650,2.600000,-0.016161
651,2.604000,0.074819
652,2.608000,-0.001796
653,2.612000,0.017358
654,2.616000,0.007781
655,2.620000,-0.080804
656,2.624000,0.029329
657,2.628000,0.012570
658,2.632000,0.005387
659,2.636000,0.043694
660,2.640000,0.043694
661,2.644000,0.031723
662,2.648000,0.005387
663,2.652000,0.036512
664,2.656000,0.005387
665,2.660000,0.055665
666,2.664000,-0.085593
667,2.668000,-0.040103
668,2.672000,0.012570
669,2.676000,0.017358
670,2.680000,0.041300
671,2.684000,-0.078410
672,2.688000,0.007781
673,2.692000,-0.001796
674,2.696000,-0.049680
675,2.700000,-0.040103
676,2.704000,0.014964
677,2.708000,-0.006584
678,2.712000,-0.035314
679,2.716000,0.002993
680,2.720000,-0.013767
681,2.724000,0.036512
682,2.728000,-0.011372
683,2.732000,0.010175
684,2.736000,-1.184531
685,2.740000,0.304662
686,2.744000,-0.193332
687,2.748000,-0.004190
688,2.752000,0.369306
689,2.756000,0.218471
690,2.760000,-0.162207
691,2.764000,0.055665
692,2.768000,0.019752
693,2.772000,-0.159813
694,2.776000,-0.111929
695,2.780000,-0.032920
696,2.784000,-0.013767
697,2.788000,0.065242
698,2.792000,0.110732
699,2.796000,0.070030
700,2.800000,-0.030526
701,2.804000,0.082001
702,2.808000,-0.023343
703,2.812000,-0.035314
704,2.816000,-0.044891
705,2.820000,-0.044891
706,2.824000,-0.011372
707,2.828000,0.036512
708,2.832000,0.043694
709,2.836000,0.007781
710,2.840000,-0.023343
711,2.844000,0.072425
712,2.848000,0.007781
713,2.852000,0.019752
714,2.856000,-0.004190
715,2.860000,-0.068833
716,2.864000,-0.004190
717,2.868000,-0.040103
718,2.872000,0.007781
719,2.876000,0.043694
720,2.880000,-0.023343
721,2.884000,0.065242
722,2.888000,0.029329
723,2.892000,0.017358
724,2.896000,0.000599
725,2.900000,-0.004190
726,2.904000,0.022146
727,2.908000,0.002993
728,2.912000,-0.111929
729,2.916000,-0.049680
730,2.920000,-0.054468
731,2.924000,-0.035314
732,2.928000,0.412401
733,2.932000,-0.317830
734,2.936000,0.225654
735,2.940000,0.022146
736,2.944000,0.067636
737,2.948000,-0.164601
738,2.952000,-0.133477
739,2.956000,0.091578
740,2.960000,-0.011372
741,2.964000,-0.025738
742,2.968000,-0.052074
743,2.972000,-0.042497
744,2.976000,-0.006584
745,2.980000,-0.071227
746,2.984000,-0.023343
747,2.988000,0.019752
748,2.992000,0.019752
749,2.996000,-0.011372
750,3.000000,0.043694
751,3.004000,0.046088
752,3.008000,-0.018555
753,3.012000,0.058059
754,3.016000,0.019752
755,3.020000,0.000599
756,3.024000,0.024541
757,3.028000,0.103549
758,3.032000,0.022146
759,3.036000,0.043694
760,3.040000,-0.040103
761,3.044000,-0.008978
762,3.048000,-0.016161
763,3.052000,0.022146
764,3.056000,0.034117
765,3.060000,0.041300
766,3.064000,-0.234033
767,3.068000,0.043694
768,3.072000,-0.099958
769,3.076000,0.070030
770,3.080000,-0.370503
771,3.084000,0.026935
772,3.088000,0.055665
773,3.092000,0.175375
774,3.096000,-0.205303
775,3.100000,0.129885
776,3.104000,0.074819
777,3.108000,-0.092775
778,3.112000,-0.006584
779,3.116000,-0.143054
780,3.120000,0.089184
781,3.124000,-0.147842
782,3.128000,0.082001
783,3.132000,0.041300
784,3.136000,0.060454
785,3.140000,0.012570
786,3.144000,-0.092775
787,3.148000,-0.044891
788,3.152000,-0.042497
789,3.156000,-0.056862
790,3.160000,0.012570
791,3.164000,0.041300
792,3.168000,0.007781
793,3.172000,-0.001796
794,3.176000,-0.040103
795,3.180000,0.043694
796,3.184000,-0.013767
797,3.188000,0.043694
798,3.192000,-0.066439
799,3.196000,-0.018555
800,3.200000,0.007781
801,3.204000,-0.119112
802,3.208000,0.012570
803,3.212000,0.072425
804,3.216000,0.010175
805,3.220000,-0.064045
806,3.224000,-0.099958
