sample,time_s,az_ms2
0,0.000000,0.068235
1,0.004000,-0.017957
2,0.008000,0.020351
3,0.012000,-0.008380
4,0.016000,-0.070629
5,0.020000,-0.029928
6,0.024000,0.008380
7,0.028000,-0.001197
8,0.032000,-0.049081
9,0.036000,-0.010774
10,0.040000,-0.001197
11,0.044000,-0.063446
12,0.048000,-0.051475
13,0.052000,-0.008380
14,0.056000,-0.005986
15,0.060000,0.020351
16,0.064000,-0.005986
17,0.068000,-0.025139
18,0.072000,0.034716
19,0.076000,0.039504
20,0.080000,0.065841
21,0.084000,-0.005986
22,0.088000,0.008380
23,0.092000,0.020351
24,0.096000,0.003591
25,0.100000,0.049081
26,0.104000,-0.010774
27,0.108000,-0.003591
28,0.112000,-0.010774
29,0.116000,0.034716
30,0.120000,-0.003591
31,0.124000,0.056264
32,0.128000,-0.025139
33,0.132000,0.001197
34,0.136000,0.046687
35,0.140000,-0.017957
36,0.144000,0.022745
37,0.148000,0.001197
38,0.152000,-0.027533
39,0.156000,0.044293
40,0.160000,-0.001197
41,0.164000,0.025139
42,0.168000,-0.032322
43,0.172000,-0.005986
44,0.176000,-0.003591
45,0.180000,-0.003591
46,0.184000,0.094571
47,0.188000,0.022745
48,0.192000,-0.008380
49,0.196000,0.017957
50,0.200000,-0.015562
51,0.204000,0.008380
52,0.208000,-0.065841
53,0.212000,-0.029928
54,0.216000,-0.001197
55,0.220000,-0.001197
56,0.224000,-0.003591
57,0.228000,0.056264
58,0.232000,-0.041899
59,0.236000,0.010774
60,0.240000,0.027533
61,0.244000,-0.027533
62,0.248000,0.049081
63,0.252000,-0.025139
64,0.256000,-0.037110
65,0.260000,-0.010774
66,0.264000,-0.003591
67,0.268000,-0.022745
68,0.272000,0.003591
69,0.276000,0.001197
70,0.280000,-0.003591
71,0.284000,0.044293
72,0.288000,0.022745
73,0.292000,0.013168
74,0.296000,0.044293
75,0.300000,-0.003591
76,0.304000,0.003591
77,0.308000,-0.032322
78,0.312000,0.034716
79,0.316000,-0.008380
80,0.320000,-0.008380
81,0.324000,-0.005986
82,0.328000,-0.046687
83,0.332000,0.039504
84,0.336000,-0.005986
85,0.340000,0.056264
86,0.344000,0.068235
87,0.348000,0.046687
88,0.352000,-0.015562
89,0.356000,0.046687
90,0.360000,-0.025139
91,0.364000,0.034716
92,0.368000,0.005986
93,0.372000,0.094571
94,0.376000,-0.034716
95,0.380000,0.025139
96,0.384000,0.020351
97,0.388000,0.020351
98,0.392000,0.015562
99,0.396000,-0.049081
100,0.400000,0.034716
101,0.404000,0.058658
102,0.408000,-0.017957
103,0.412000,-0.010774
104,0.416000,0.010774
105,0.420000,0.015562
106,0.424000,0.041899
107,0.428000,0.027533
108,0.432000,0.061052
109,0.436000,0.039504
110,0.440000,0.058658
111,0.444000,0.034716
112,0.448000,-0.051475
113,0.452000,-0.027533
114,0.456000,-0.025139
115,0.460000,-0.027533
116,0.464000,0.049081
117,0.468000,-0.032322
118,0.472000,0.010774
119,0.476000,0.053870
120,0.480000,-0.020351
121,0.484000,-0.008380
122,0.488000,-0.008380
123,0.492000,0.049081
124,0.496000,-0.022745
125,0.500000,0.001197
126,0.504000,-0.049081
127,0.508000,0.020351
128,0.512000,-0.003591
129,0.516000,0.025139
130,0.520000,-0.027533
131,0.524000,-0.001197
132,0.528000,-0.013168
133,0.532000,0.005986
134,0.536000,-0.056264
135,0.540000,-0.094571
136,0.544000,-0.003591
137,0.548000,0.046687
138,0.552000,-0.034716
139,0.556000,-0.061052
140,0.560000,-0.001197
141,0.564000,0.025139
142,0.568000,0.039504
143,0.572000,0.027533
144,0.576000,-0.041899
145,0.580000,0.051475
146,0.584000,-0.037110
147,0.588000,-0.025139
148,0.592000,-0.017957
149,0.596000,0.099359
150,0.600000,0.020351
151,0.604000,-0.032322
152,0.608000,-0.013168
153,0.612000,0.010774
154,0.616000,-0.008380
155,0.620000,0.003591
156,0.624000,-0.008380
157,0.628000,0.022745
158,0.632000,-0.008380
159,0.636000,-0.051475
160,0.640000,-0.013168
161,0.644000,-0.073023
162,0.648000,-0.041899
163,0.652000,-0.032322
164,0.656000,0.015562
165,0.660000,-0.029928
166,0.664000,-0.053870
167,0.668000,-0.025139
168,0.672000,-0.017957
169,0.676000,-0.025139
170,0.680000,0.034716
171,0.684000,0.010774
172,0.688000,0.022745
173,0.692000,-0.017957
174,0.696000,-0.092177
175,0.700000,0.003591
176,0.704000,-0.027533
177,0.708000,0.008380
178,0.712000,0.051475
179,0.716000,0.080206
180,0.720000,-0.056264
181,0.724000,-0.034716
182,0.728000,-0.037110
183,0.732000,-0.082600
184,0.736000,0.005986
185,0.740000,-0.015562
186,0.744000,-0.099359
187,0.748000,0.015562
188,0.752000,-0.020351
189,0.756000,0.046687
190,0.760000,-0.056264
191,0.764000,-0.041899
192,0.768000,-0.027533
193,0.772000,-0.034716
194,0.776000,-0.015562
195,0.780000,0.037110
196,0.784000,-0.017957
197,0.788000,-0.027533
198,0.792000,0.013168
199,0.796000,0.041899
200,0.800000,-0.046687
201,0.804000,-0.051475
202,0.808000,0.025139
203,0.812000,-0.029928
204,0.816000,-0.020351
205,0.820000,0.041899
206,0.824000,-0.032322
207,0.828000,0.025139
208,0.832000,-0.022745
209,0.836000,0.051475
210,0.840000,-0.015562
211,0.844000,0.053870
212,0.848000,0.037110
213,0.852000,-0.013168
214,0.856000,-0.037110
215,0.860000,-0.063446
216,0.864000,-0.044293
217,0.868000,-0.029928
218,0.872000,-0.077812
219,0.876000,0.013168
220,0.880000,-0.039504
221,0.884000,-0.068235
222,0.888000,-0.005986
223,0.892000,-0.001197
224,0.896000,-0.039504
225,0.900000,0.008380
226,0.904000,0.013168
227,0.908000,-0.061052
228,0.912000,-0.017957
229,0.916000,0.010774
230,0.920000,-0.017957
231,0.924000,-0.037110
232,0.928000,0.058658
233,0.932000,-0.027533
234,0.936000,-0.061052
235,0.940000,0.008380
236,0.944000,0.008380
237,0.948000,-0.041899
238,0.952000,0.029928
239,0.956000,0.001197
240,0.960000,-0.046687
241,0.964000,0.029928
242,0.968000,0.003591
243,0.972000,0.022745
244,0.976000,0.051475
245,0.980000,-0.015562
246,0.984000,0.044293
247,0.988000,0.003591
248,0.992000,-0.008380
249,0.996000,-0.017957
250,1.000000,0.010774
251,1.004000,-0.065841
252,1.008000,0.025139
253,1.012000,0.044293
254,1.016000,0.022745
255,1.020000,-0.029928
256,1.024000,-0.017957
257,1.028000,-0.046687
258,1.032000,-0.034716
259,1.036000,-0.032322
260,1.040000,0.005986
261,1.044000,-0.063446
262,1.048000,0.032322
263,1.052000,0.084994
264,1.056000,-0.015562
265,1.060000,0.068235
266,1.064000,-0.001197
267,1.068000,-0.020351
268,1.072000,0.053870
269,1.076000,-0.010774
270,1.080000,-0.070629
271,1.084000,0.063446
272,1.088000,0.013168
273,1.092000,0.008380
274,1.096000,0.020351
275,1.100000,-0.008380
276,1.104000,-0.001197
277,1.108000,-0.051475
278,1.112000,-0.092177
279,1.116000,-0.049081
280,1.120000,-0.049081
281,1.124000,0.001197
282,1.128000,0.049081
283,1.132000,-0.080206
284,1.136000,0.017957
285,1.140000,0.022745
286,1.144000,0.001197
287,1.148000,-0.008380
288,1.152000,0.020351
289,1.156000,-0.008380
290,1.160000,0.005986
291,1.164000,-0.034716
292,1.168000,-0.049081
293,1.172000,-0.046687
294,1.176000,0.008380
295,1.180000,-0.039504
296,1.184000,-0.041899
297,1.188000,0.061052
298,1.192000,-0.015562
299,1.196000,-0.013168
300,1.200000,-0.022745
301,1.204000,0.017957
302,1.208000,-0.013168
303,1.212000,-0.053870
304,1.216000,-0.070629
305,1.220000,0.027533
306,1.224000,0.061052
307,1.228000,0.005986
308,1.232000,-0.037110
309,1.236000,0.046687
310,1.240000,-0.027533
311,1.244000,-0.039504
312,1.248000,0.037110
313,1.252000,-0.003591
314,1.256000,0.020351
315,1.260000,-0.027533
316,1.264000,-0.027533
317,1.268000,0.010774
318,1.272000,-0.025139
319,1.276000,-0.034716
320,1.280000,-0.010774
321,1.284000,0.017957
322,1.288000,0.027533
323,1.292000,-0.051475
324,1.296000,0.037110
325,1.300000,0.003591
326,1.304000,0.017957
327,1.308000,0.008380
328,1.312000,0.010774
329,1.316000,-0.022745
330,1.320000,-0.013168
331,1.324000,-0.025139
332,1.328000,-0.020351
333,1.332000,0.046687
334,1.336000,-0.013168
335,1.340000,0.029928
336,1.344000,0.017957
337,1.348000,-0.049081
338,1.352000,0.037110
339,1.356000,-0.068235
340,1.360000,-0.008380
341,1.364000,0.041899
342,1.368000,0.068235
343,1.372000,-0.022745
344,1.376000,-0.017957
345,1.380000,-0.027533
346,1.384000,-0.020351
347,1.388000,0.001197
348,1.392000,0.008380
349,1.396000,0.039504
350,1.400000,-0.113725
351,1.404000,-0.022745
352,1.408000,-0.022745
353,1.412000,-0.020351
354,1.416000,-0.037110
355,1.420000,-0.013168
356,1.424000,-0.001197
357,1.428000,0.010774
358,1.432000,-0.010774
359,1.436000,-0.001197
360,1.440000,-0.044293
361,1.444000,0.017957
362,1.448000,-0.008380
363,1.452000,-0.037110
364,1.456000,-0.039504
365,1.460000,-0.027533
366,1.464000,-0.005986
367,1.468000,-0.003591
368,1.472000,-0.041899
369,1.476000,-0.020351
370,1.480000,0.046687
371,1.484000,0.027533
372,1.488000,-0.008380
373,1.492000,-0.010774
374,1.496000,0.005986
375,1.500000,0.056264
376,1.504000,-0.029928
377,1.508000,0.034716
378,1.512000,0.013168
379,1.516000,-0.037110
380,1.520000,-0.063446
381,1.524000,-0.032322
382,1.528000,-0.022745
383,1.532000,-0.039504
384,1.536000,-0.003591
385,1.540000,-0.017957
386,1.544000,-0.025139
387,1.548000,0.027533
388,1.552000,0.063446
389,1.556000,0.015562
390,1.560000,-0.015562
391,1.564000,-0.020351
392,1.568000,-0.020351
393,1.572000,-0.070629
394,1.576000,0.077812
395,1.580000,0.034716
396,1.584000,0.027533
397,1.588000,0.032322
398,1.592000,-0.053870
399,1.596000,-0.029928
400,1.600000,-0.020351
401,1.604000,-0.001197
402,1.608000,-0.051475
403,1.612000,-0.061052
404,1.616000,0.008380
405,1.620000,0.015562
406,1.624000,-0.022745
407,1.628000,0.005986
408,1.632000,-0.005986
409,1.636000,0.077812
410,1.640000,-0.025139
411,1.644000,-0.034716
412,1.648000,-0.053870
413,1.652000,0.005986
414,1.656000,0.015562
415,1.660000,-0.041899
416,1.664000,-0.001197
417,1.668000,0.010774
418,1.672000,-0.039504
419,1.676000,-0.017957
420,1.680000,-0.020351
421,1.684000,-0.010774
422,1.688000,-0.073023
423,1.692000,-0.051475
424,1.696000,-0.051475
425,1.700000,0.065841
426,1.704000,0.020351
427,1.708000,0.017957
428,1.712000,-0.001197
429,1.716000,0.053870
430,1.720000,0.034716
431,1.724000,-0.010774
432,1.728000,0.013168
433,1.732000,0.010774
434,1.736000,-0.061052
435,1.740000,0.003591
436,1.744000,0.051475
437,1.748000,-0.046687
438,1.752000,-0.037110
439,1.756000,-0.073023
440,1.760000,0.041899
441,1.764000,-0.022745
442,1.768000,-0.053870
443,1.772000,0.053870
444,1.776000,0.027533
445,1.780000,0.029928
446,1.784000,0.044293
447,1.788000,0.010774
448,1.792000,-0.015562
449,1.796000,0.015562
450,1.800000,-0.017957
451,1.804000,0.037110
452,1.808000,0.056264
453,1.812000,0.044293
454,1.816000,0.022745
455,1.820000,-0.039504
456,1.824000,0.008380
457,1.828000,0.051475
458,1.832000,0.008380
459,1.836000,0.051475
460,1.840000,-0.017957
461,1.844000,-0.044293
462,1.848000,-0.025139
463,1.852000,0.032322
464,1.856000,0.063446
465,1.860000,-0.003591
466,1.864000,-0.010774
467,1.868000,-0.020351
468,1.872000,0.082600
469,1.876000,0.039504
470,1.880000,0.005986
471,1.884000,0.001197
472,1.888000,-0.017957
473,1.892000,0.065841
474,1.896000,0.008380
475,1.900000,-0.022745
476,1.904000,0.020351
477,1.908000,-0.080206
478,1.912000,0.053870
479,1.916000,0.001197
480,1.920000,-0.049081
481,1.924000,0.017957
482,1.928000,-0.025139
483,1.932000,-0.013168
484,1.936000,0.020351
485,1.940000,0.068235
486,1.944000,0.005986
487,1.948000,0.080206
488,1.952000,0.029928
489,1.956000,-0.061052
490,1.960000,-0.053870
491,1.964000,-0.041899
492,1.968000,-0.075417
493,1.972000,-0.001197
494,1.976000,-0.008380
495,1.980000,0.070629
496,1.984000,-0.015562
497,1.988000,0.015562
498,1.992000,0.034716
499,1.996000,0.015562
500,2.000000,-0.027533
501,2.004000,-0.053870
502,2.008000,-0.058658
503,2.012000,0.001197
504,2.016000,0.022745
505,2.020000,0.075417
506,2.024000,-0.001197
507,2.028000,0.044293
508,2.032000,0.053870
509,2.036000,0.058658
510,2.040000,0.041899
511,2.044000,0.065841
512,2.048000,0.065841
513,2.052000,0.032322
514,2.056000,0.010774
515,2.060000,-0.027533
516,2.064000,0.008380
517,2.068000,-0.025139
518,2.072000,0.022745
519,2.076000,-0.077812
520,2.080000,-0.017957
521,2.084000,-0.001197
522,2.088000,-0.022745
523,2.092000,-0.010774
524,2.096000,0.025139
525,2.100000,0.025139
526,2.104000,-0.065841
