sample,time_s,az_ms2
0,0.000000,-0.072425
1,0.004000,-0.000599
2,0.008000,-0.053271
3,0.012000,0.028132
4,0.016000,0.052074
5,0.020000,0.004190
6,0.024000,0.032920
7,0.028000,-0.005387
8,0.032000,-0.012570
9,0.036000,-0.029329
10,0.040000,-0.017358
11,0.044000,-0.038906
12,0.048000,-0.048483
13,0.052000,-0.017358
14,0.056000,-0.024541
15,0.060000,-0.053271
16,0.064000,-0.029329
17,0.068000,0.073622
18,0.072000,0.008978
19,0.076000,-0.014964
20,0.080000,0.064045
21,0.084000,0.006584
22,0.088000,-0.060454
23,0.092000,0.018555
24,0.096000,-0.026935
25,0.100000,0.018555
26,0.104000,-0.012570
27,0.108000,0.004190
28,0.112000,0.008978
29,0.116000,0.020949
30,0.120000,-0.012570
31,0.124000,0.025738
32,0.128000,0.008978
33,0.132000,0.004190
34,0.136000,0.080804
35,0.140000,-0.024541
36,0.144000,0.025738
37,0.148000,0.016161
38,0.152000,-0.022146
39,0.156000,0.054468
40,0.160000,-0.022146
41,0.164000,0.030526
42,0.168000,-0.034117
43,0.172000,0.001796
44,0.176000,0.040103
45,0.180000,0.013767
46,0.184000,0.011372
47,0.188000,-0.089184
48,0.192000,-0.014964
49,0.196000,0.035314
50,0.200000,-0.065242
51,0.204000,-0.034117
52,0.208000,-0.010175
53,0.212000,0.025738
54,0.216000,-0.019752
55,0.220000,-0.012570
56,0.224000,0.025738
57,0.228000,-0.067636
58,0.232000,0.011372
59,0.236000,0.047285
60,0.240000,-0.043694
61,0.244000,-0.012570
62,0.248000,0.011372
63,0.252000,-0.029329
64,0.256000,-0.002993
65,0.260000,0.006584
66,0.264000,-0.014964
67,0.268000,0.056862
68,0.272000,-0.002993
69,0.276000,-0.060454
70,0.280000,0.020949
71,0.284000,-0.007781
72,0.288000,0.023343
73,0.292000,-0.079607
74,0.296000,-0.022146
75,0.300000,0.035314
76,0.304000,-0.000599
77,0.308000,-0.029329
78,0.312000,-0.012570
79,0.316000,0.011372
80,0.320000,-0.022146
81,0.324000,-0.002993
82,0.328000,0.059256
83,0.332000,0.030526
