"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.564483000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
9.352972000E-3,4.895329475E-3,9.499058127E-3,-3.828334808E-2,3.974683757E-2 
1.395458700E-2,-7.893890142E-3,6.315708160E-3,-3.987884521E-2,4.114029614E-2
1.864953500E-2,-1.503294706E-2,-1.139080524E-2,-1.376247406E-2,2.334835398E-2
2.334437800E-2,-2.536237240E-3,8.120000362E-3,-5.269050598E-3,1.000648787E-2
2.803922200E-2,1.589044929E-2,-1.518678665E-2,7.575035095E-3,2.324921556E-2
3.273406600E-2,3.400921822E-3,-2.129061520E-2,3.395080566E-4,2.156320548E-2
3.742891000E-2,1.766762137E-2,-2.079305053E-2,2.965927124E-4,2.728706218E-2
4.212375300E-2,7.132709026E-3,-1.847963035E-2,-2.738857269E-2,3.380097913E-2
4.681859700E-2,2.142894268E-2,-1.552909613E-3,-7.422447205E-3,2.273112041E-2
5.151344100E-2,2.596619725E-2,-1.013395190E-2,2.152919769E-2,3.521997635E-2
5.620833700E-2,6.266772747E-3,-7.144197822E-3,4.379272461E-3,1.046374839E-2
6.090318100E-2,1.910120249E-2,-1.542478800E-2,-2.582550049E-3,2.468703275E-2
6.559802400E-2,1.105561852E-2,-1.209533215E-2,-1.572799683E-2,2.271329225E-2
7.029286800E-2,5.784749985E-3,-2.242569625E-2,9.517669678E-4,2.317932366E-2
7.498771200E-2,5.381882191E-3,-2.550654113E-2,7.620811462E-3,2.715925374E-2
7.968255600E-2,7.384061813E-3,-3.529089689E-2,1.167869568E-2,3.789938924E-2
8.437739900E-2,1.155945659E-2,-2.886015177E-2,1.991271973E-3,3.115276169E-2
8.907224300E-2,8.668839931E-3,-1.829561591E-2,-1.398277283E-2,2.460480204E-2
9.376713900E-2,1.273986697E-2,-1.283036172E-2,2.308750153E-2,2.932499137E-2
9.846198300E-2,7.588148117E-3,-1.449498534E-2,1.059436798E-2,1.949167065E-2
1.031568260E-1,7.310330868E-3,-2.982123196E-2,7.831573486E-3,3.168722702E-2
1.078516700E-1,-6.700247526E-3,-2.397102118E-2,-6.241798401E-3,2.566053819E-2
1.125465140E-1,-8.728653193E-3,-2.302350104E-2,-3.691673279E-3,2.489777979E-2
1.172413580E-1,-6.095826626E-3,5.464315414E-3,-8.136749268E-3,1.154229327E-2
1.219362010E-1,-3.575086594E-3,-2.002385259E-2,-1.012420654E-2,2.272081589E-2
1.266310450E-1,-1.152515411E-3,-1.464396715E-2,1.559638977E-2,2.142478564E-2
1.313258890E-1,-1.097381115E-3,4.339501262E-3,-8.032798767E-3,9.195725776E-3
1.360207850E-1,-2.406674623E-2,8.785456419E-3,-1.006317139E-2,2.752562328E-2
1.407156280E-1,-9.372144938E-3,1.777394116E-2,-2.788543701E-3,2.028610512E-2
1.454104720E-1,-2.136409283E-3,1.025524735E-2,-1.196098328E-2,1.589966867E-2
1.501053160E-1,-4.374235868E-3,1.920941472E-2,-9.267807007E-3,2.177217950E-2
1.548001600E-1,4.670917988E-4,-4.600092769E-3,9.577751160E-3,1.063542879E-2
1.594950030E-1,-1.856118441E-3,1.644055545E-2,-9.283065796E-3,1.897135604E-2
1.641898470E-1,-8.817702532E-3,3.689251840E-2,-2.046585083E-3,3.798681748E-2
1.688846910E-1,-6.260007620E-3,2.891790867E-2,-1.827335358E-2,3.477568961E-2
1.735795350E-1,7.781416178E-3,2.583746612E-2,1.481151581E-2,3.078158693E-2
1.782744310E-1,5.441308022E-4,2.285963297E-2,-1.888275146E-3,2.294394214E-2
1.829692740E-1,-8.838146925E-3,1.764163375E-2,-6.503105164E-3,2.077571802E-2
1.876641180E-1,7.000863552E-4,1.020494103E-2,1.232337952E-2,1.601551202E-2
1.923589620E-1,6.682574749E-4,2.630062401E-2,-1.984596252E-3,2.638385896E-2
1.970538060E-1,7.616847754E-3,1.633527875E-2,-1.361751556E-2,2.258969747E-2
2.017486490E-1,9.733796120E-3,-4.005879164E-4,5.395889282E-3,1.113655596E-2
2.064434930E-1,2.537071705E-3,1.834900677E-2,-8.754730225E-3,2.048824257E-2
2.111383370E-1,1.182398200E-2,1.095439494E-2,-1.791858673E-2,2.410147442E-2
2.158332330E-1,6.925195456E-3,3.726840019E-3,1.198768616E-3,7.955169063E-3
2.205280760E-1,-9.575128555E-3,-1.505562663E-2,1.174926758E-3,1.788114742E-2
2.252229200E-1,-2.362042665E-3,-3.050699830E-3,3.492355347E-3,5.204090783E-3
2.299177640E-1,9.418100119E-3,-1.939117908E-2,3.421783447E-3,2.182720866E-2
2.346126080E-1,2.180039883E-3,-9.564355016E-3,-1.540470123E-2,1.826292093E-2
2.393074510E-1,-2.542465925E-3,-7.025733590E-3,-3.372192383E-3,8.197362193E-3
2.440022950E-1,-4.828393459E-3,-1.395379007E-2,-3.307342529E-3,1.513142939E-2
2.486971390E-1,-2.113106847E-2,-3.487025201E-2,-1.498317719E-2,4.343906224E-2
2.533919830E-1,-1.967549324E-3,-1.548710465E-2,4.079818726E-3,1.613587871E-2
2.580868260E-1,-8.966624737E-3,-1.757939160E-2,4.005432129E-3,2.013650552E-2
2.627817220E-1,1.705655456E-2,-1.023797691E-2,1.803398132E-2,2.685082321E-2
2.674765660E-1,-1.146709919E-2,-2.181006968E-2,1.301574707E-2,2.786724197E-2
2.721714100E-1,2.881109715E-3,-9.672835469E-3,8.089065552E-3,1.293435428E-2
2.768662530E-1,-4.210859537E-3,-1.656319201E-2,-2.733135223E-2,3.223466275E-2
2.815610970E-1,-6.508469582E-3,-2.098964155E-2,-1.275825500E-2,2.541059423E-2
2.862559410E-1,-1.585790515E-2,-2.299755812E-2,2.040004730E-2,3.459079018E-2
2.909507850E-1,-6.171524525E-3,-3.442327678E-2,-1.524162292E-2,3.814913851E-2
2.956456280E-1,-6.059318781E-3,-3.384727240E-2,6.194114685E-3,3.493880721E-2
3.003404720E-1,-3.594964743E-3,-2.625049651E-2,-5.678176880E-3,2.709712219E-2
3.050353160E-1,-1.168787479E-3,-3.291398287E-2,-1.736927032E-2,3.723423000E-2
3.097302120E-1,-1.136243343E-3,-1.120549440E-2,-5.322456360E-3,1.245723466E-2
3.144250560E-1,3.553658724E-3,-1.103755832E-2,-5.311965942E-4,1.160768512E-2
3.191198990E-1,3.544270992E-3,-2.263468504E-2,6.551742554E-3,2.382889326E-2
3.238147430E-1,1.121550798E-3,5.991771817E-3,-2.975463867E-3,6.783258135E-3
3.285095870E-1,-3.597497940E-3,8.238360286E-3,-1.000976562E-2,1.345392060E-2
3.332044310E-1,-3.532558680E-3,1.278604567E-2,1.926422119E-3,1.340421713E-2
3.378992740E-1,-5.828768015E-3,1.255393028E-2,-1.461791992E-2,2.013105275E-2
3.425941180E-1,-1.753488183E-2,9.995445609E-3,-6.869888306E-2,7.160249679E-2
3.472889620E-1,-1.734036207E-2,9.834796190E-3,6.677532196E-2,6.968755266E-2
3.519838060E-1,3.248441219E-2,7.344350219E-3,1.060218811E-1,1.111297250E-1
3.566787010E-1,8.457928896E-3,2.619619668E-2,-1.244211197E-1,1.274299506E-1
3.613735450E-1,-1.140236855E-3,1.165810227E-2,-3.778457642E-2,3.955863627E-2
3.660683890E-1,-8.170783520E-3,2.560065687E-2,9.261894226E-2,9.643870489E-2
3.707632330E-1,3.691881895E-2,3.003226221E-2,-1.250267029E-2,4.920622654E-2
