"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.891305000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.068083600E-2,-1.129612327E-3,7.154822350E-3,1.196861267E-3,7.341660831E-3
1.547015900E-2,-2.336561680E-3,-1.623392105E-3,-1.994037628E-2,2.014233176E-2
2.025937800E-2,-2.338480949E-2,9.602338076E-3,-4.905414581E-2,5.518481162E-2
2.504859600E-2,6.074950099E-3,5.662441254E-5,-6.702423096E-3,9.046032301E-3
2.983781500E-2,-1.082725823E-2,-5.949854851E-3,1.236248016E-2,1.747744859E-2
3.462703400E-2,-1.116733253E-2,5.114704370E-3,3.423690796E-4,1.228766590E-2
3.941625300E-2,-1.598700881E-2,-8.128166199E-3,-3.887176514E-3,1.835106748E-2
4.420547100E-2,-1.459285617E-3,-5.114644766E-3,-2.472496033E-2,2.529056679E-2
4.899469000E-2,-1.434995234E-2,-1.102811098E-2,-2.225399017E-2,2.868414968E-2
5.378380500E-2,-1.109391451E-4,2.046516538E-2,-7.181167603E-3,2.168880978E-2
5.857302300E-2,-8.645653725E-5,-2.729186416E-2,1.096534729E-2,2.941244915E-2
6.336224200E-2,1.324106753E-2,-9.720236063E-3,7.914543152E-3,1.823317997E-2
6.815146100E-2,1.229062676E-3,-1.348701119E-2,-1.538276672E-3,1.362998023E-2
7.294068000E-2,1.004146039E-2,-1.438170671E-3,-1.707077026E-2,1.985725205E-2
7.772989800E-2,9.373143315E-3,-1.030966640E-2,1.941680908E-3,1.406823235E-2
8.251911700E-2,-6.956160069E-3,3.820955753E-3,-4.929542542E-3,9.342818388E-3
8.730833600E-2,-1.785345376E-2,1.359343529E-3,-1.595401764E-2,2.398174941E-2
9.209755500E-2,-3.269135952E-3,1.298367977E-3,-1.058006287E-2,1.114947261E-2
9.688677300E-2,1.506790519E-2,-5.575537682E-3,-1.005077362E-2,1.895115927E-2
1.016758880E-1,-3.921136260E-3,1.749002934E-2,-7.293701172E-3,1.935134395E-2
1.064651070E-1,1.448982954E-2,-3.823012114E-3,-1.838207245E-2,2.371647464E-2
1.112543260E-1,-4.491999745E-3,-2.198302746E-2,-1.564025879E-3,2.249172592E-2
1.160435440E-1,4.882723093E-3,-2.337679267E-2,1.226043701E-2,2.684462211E-2
1.208327630E-1,4.646584392E-3,-8.647739887E-3,9.470939636E-3,1.364085222E-2
1.256219820E-1,-1.457333565E-4,3.199547529E-3,-1.390075684E-2,1.426497049E-2
1.304112010E-1,1.134058833E-2,-1.073339581E-2,9.654998779E-3,1.835847845E-2
1.352003150E-1,2.710226178E-2,-3.416627645E-3,2.389907837E-3,2.742111591E-2
1.399895340E-1,2.629534900E-2,-1.714926958E-2,9.240150452E-3,3.272496305E-2
1.447787530E-1,3.011822701E-2,-1.428252459E-2,2.743816376E-2,4.317349808E-2
1.495679710E-1,3.150656819E-2,-1.381102204E-2,-1.234054565E-3,3.442282760E-2
1.543571900E-1,1.665890217E-2,5.672872066E-4,3.443717957E-3,1.702057665E-2
1.591464090E-1,6.889864802E-3,-6.400644779E-3,1.030063629E-2,1.394781698E-2
1.639356280E-1,1.140564680E-2,7.732510567E-3,7.095336914E-4,1.379796857E-2
1.687248460E-1,1.809847355E-2,-8.805930614E-3,-1.325798035E-2,2.410131120E-2
1.735140650E-1,2.691733837E-2,-1.325982809E-2,1.068115234E-3,3.002510643E-2
1.783031800E-1,1.226632297E-2,-5.906760693E-3,1.040458679E-3,1.365412228E-2
1.830923980E-1,7.301792502E-3,-2.202227712E-2,-1.316070557E-3,2.323852200E-2
1.878816170E-1,1.875972748E-2,-1.908689737E-2,3.382682800E-3,2.697553650E-2
1.926708360E-1,-7.384464145E-3,-2.093183994E-2,-8.366584778E-3,2.372070772E-2
1.974600550E-1,-2.546727657E-3,5.239605904E-3,1.284599304E-2,1.410527664E-2
2.022492730E-1,-1.899600029E-4,-4.275113344E-3,-6.149291992E-3,7.491760201E-3
2.070384920E-1,-9.546458721E-3,-2.522781491E-2,1.004219055E-3,2.699233179E-2
2.118276070E-1,-3.032985330E-2,1.021742821E-3,9.803771973E-4,3.036289016E-2
2.166168260E-1,7.473677397E-4,-1.533907652E-2,9.593963623E-4,1.538721120E-2
2.214089610E-1,-2.263215184E-2,-1.265388727E-2,-1.401901245E-3,2.596729649E-2
2.261952110E-1,-2.216193080E-2,1.677095890E-3,7.995605469E-3,2.361976999E-2
2.309844300E-1,-4.274217784E-2,1.336795092E-2,3.145217896E-3,4.489418976E-2
2.357736480E-1,-3.013183177E-2,-9.591281414E-4,-6.294250488E-3,3.079715574E-2
2.405621380E-1,-3.892132640E-2,2.252060175E-2,3.211021423E-3,4.508167932E-2
2.452573980E-1,-2.169199288E-2,1.267755032E-2,-3.890037537E-3,2.542430391E-2
2.499527110E-1,-2.134199440E-2,2.414989471E-2,3.224372864E-3,3.238973171E-2
2.546480230E-1,-9.240970016E-3,-1.623353362E-2,8.144378662E-4,1.869723107E-2
2.593433360E-1,7.413759828E-3,1.225996017E-2,-1.564025879E-2,2.121056702E-2
2.640386480E-1,-4.451617599E-3,7.321119308E-3,-2.240371704E-2,2.398629243E-2
2.687339610E-1,-4.356116056E-3,1.425138116E-2,-3.202438354E-3,1.524248088E-2
2.734292730E-1,-6.613641977E-3,9.309828281E-3,-1.019763947E-2,1.531029110E-2
2.781245340E-1,5.217254162E-3,2.077966928E-3,4.086494446E-3,6.945295127E-3
2.828198460E-1,9.820431471E-3,1.378738880E-2,-2.656364441E-2,3.149857407E-2
2.875151590E-1,2.329349518E-4,1.831740141E-3,-1.435565948E-2,1.447392448E-2
2.922104710E-1,9.658664465E-3,1.841187477E-3,7.064819336E-3,1.210749532E-2
2.969057840E-1,1.660968363E-2,4.148364067E-3,-9.529113770E-3,1.959322648E-2
3.016010960E-1,1.403445005E-2,4.122018814E-3,-9.375572205E-3,1.737406635E-2
3.062964090E-1,2.328017354E-2,1.110723615E-2,-6.873130798E-3,2.669413984E-2
3.109916690E-1,2.520886064E-2,3.851592541E-3,-1.148223877E-2,2.796718125E-2
3.156869820E-1,3.191179037E-2,-8.006304502E-3,-1.130867004E-2,3.479007466E-2
3.203822940E-1,2.199411392E-2,-1.023256779E-2,-1.585388184E-2,2.897916596E-2
3.250776070E-1,2.163046598E-2,-1.007130742E-2,-1.326370239E-2,2.729897604E-2
3.297729190E-1,7.155179977E-3,-2.644908428E-2,-1.071453094E-2,2.942026229E-2
3.344682320E-1,1.653081179E-2,-1.193615794E-2,1.231193542E-3,2.042683143E-2
3.391635440E-1,1.395493746E-2,-1.886278391E-2,-1.145362854E-3,2.349163154E-2
3.438588050E-1,-4.076063633E-4,-2.101659775E-3,-1.130104065E-3,2.420795727E-3
3.485541170E-1,-7.523283362E-3,-1.388984919E-2,1.304435730E-2,2.048616510E-2
3.532494300E-1,9.060665965E-3,-1.843988895E-2,-8.378982544E-3,2.218856735E-2
3.579447420E-1,-7.541447878E-3,-2.526658773E-2,-1.062679291E-2,2.842890465E-2
3.626400550E-1,-2.857744694E-4,-6.060779095E-3,-3.400802612E-3,6.955585431E-3
3.673353670E-1,-1.682549715E-2,-1.541888714E-2,-1.516628265E-2,2.740174382E-2
3.720306280E-1,-1.189668477E-2,-1.757317781E-2,-1.024723053E-2,2.356593772E-2
3.767259400E-1,-1.884579659E-2,-1.733994484E-2,-1.011753082E-2,2.753547105E-2
3.814212530E-1,-1.865051687E-2,-1.002365351E-2,4.185676575E-3,2.158321796E-2
3.861165650E-1,-4.222691059E-3,-2.407002449E-2,4.135131836E-3,2.478500583E-2
3.908118780E-1,-2.072790265E-2,-1.298785210E-4,8.811950684E-3,2.252361631E-2
3.955071900E-1,-3.885015845E-3,-4.846096039E-3,-7.495880127E-4,6.256187108E-3
4.002024510E-1,-1.327821612E-2,9.378939867E-3,-7.833480835E-3,1.804546919E-2
4.048977630E-1,-2.022634447E-2,-7.274538279E-3,-1.247024536E-2,2.485016976E-2
4.095930760E-1,-1.051503420E-2,7.010847330E-3,-1.468944550E-2,1.937776389E-2
4.142883880E-1,3.785640001E-3,9.306401014E-3,-7.424354553E-3,1.249244614E-2
4.189837010E-1,3.758743405E-3,-4.982292652E-3,1.395225525E-2,1.528452873E-2
4.236790130E-1,-8.123517036E-3,6.941139698E-3,-5.130767822E-3,1.185308938E-2
4.283743260E-1,8.549213409E-3,-7.324457169E-3,1.148986816E-2,1.608582585E-2
4.330695860E-1,1.086702943E-2,9.303689003E-3,-5.200386047E-3,1.522152991E-2
4.377648980E-1,1.789458096E-2,-1.980066299E-4,-1.934242249E-2,2.635117724E-2
4.424602110E-1,1.058878005E-2,-7.286369801E-3,-1.203346252E-2,1.760731859E-2
4.471555230E-1,9.945482016E-4,1.408004761E-2,4.665374756E-3,1.486615580E-2
4.518508360E-1,8.102223277E-3,1.628264785E-2,6.983757019E-3,1.948187632E-2
4.565461480E-1,2.694797516E-2,1.372835040E-2,4.542350769E-3,3.058257544E-2
4.612414090E-1,1.244820654E-2,1.123011112E-2,-7.346153259E-3,1.830407631E-2
4.659367210E-1,-6.609916687E-3,8.757919073E-3,-1.674270630E-2,2.001775111E-2
4.706320340E-1,-6.556168199E-3,2.052417397E-2,1.184844971E-2,2.458883526E-2
4.753273460E-1,1.241923869E-2,-1.520302892E-2,-7.222175598E-3,2.091720340E-2
4.800226590E-1,-6.753683090E-3,-7.986128330E-4,9.432792664E-3,1.162874005E-2
4.847179190E-1,4.367679358E-4,-1.025739312E-2,-1.373291016E-4,1.026760630E-2
4.894132320E-1,3.125156462E-2,-3.065258265E-3,6.973266602E-3,3.216648173E-2
4.941085440E-1,-4.580885172E-3,-5.394130945E-3,-4.941940308E-3,8.631566000E-3
4.988038570E-1,-6.947711110E-3,1.806408167E-3,-1.554489136E-4,7.180387490E-3
5.034991690E-1,-3.059679270E-2,1.128122211E-2,2.216339111E-3,3.268549915E-2
5.081944300E-1,-6.590098143E-3,-7.777065039E-3,6.937980652E-3,1.233076274E-2
5.128897420E-1,-2.547825873E-2,-1.243552566E-2,-2.384185791E-4,2.835208651E-2
5.175850550E-1,-1.574578881E-2,1.943498850E-3,-9.717941284E-3,1.860498417E-2
5.222803670E-1,-8.502468467E-3,-1.231738925E-2,-2.516746521E-3,1.517709000E-2
5.269756800E-1,-1.268535852E-3,-5.081146955E-3,-1.230239868E-4,5.238546792E-3
5.316709400E-1,-1.309743524E-2,-2.636870742E-2,1.647949219E-2,3.374055725E-2
5.363662530E-1,8.379459381E-3,-7.151365280E-3,1.159000397E-2,1.599017063E-2
5.410615650E-1,-5.937188864E-3,-9.449601173E-3,-1.222991943E-2,1.655645201E-2
5.457568780E-1,-5.867600441E-3,-1.884588599E-2,-9.750366211E-3,2.201512650E-2
5.504521900E-1,6.061017513E-3,-4.440009594E-3,-1.441001892E-2,1.625110039E-2
5.551475030E-1,-3.464102745E-3,9.842991829E-3,-4.796028137E-3,1.148417963E-2
5.598427630E-1,1.319010556E-2,9.741485119E-3,9.479522705E-3,1.894034761E-2
5.645380760E-1,5.921572447E-3,1.201426983E-2,4.652976990E-3,1.417948852E-2
5.692333880E-1,-1.313373446E-3,-2.285242081E-3,1.173210144E-2,1.202453681E-2
5.739287010E-1,-1.314887404E-2,-6.974071264E-3,1.638317108E-2,2.213456242E-2
5.786240130E-1,1.215070486E-3,-4.504501820E-3,2.010345459E-3,5.080198992E-3
5.833192730E-1,2.020506561E-2,-2.112179995E-3,-1.698780060E-2,2.648190608E-2
5.880145860E-1,1.290678978E-2,-2.344030142E-2,-9.728431702E-3,2.847236092E-2
5.927098980E-1,1.990753412E-2,-1.137095690E-2,-1.202011108E-2,2.588612845E-2
5.974052110E-1,-1.624643803E-3,-4.176229239E-3,-7.175445557E-3,8.459750414E-3
6.021005230E-1,7.897496223E-3,2.959102392E-3,-2.368927002E-3,8.760054150E-3
6.067957840E-1,1.025082171E-2,5.145668983E-4,4.768371582E-3,1.131730941E-2
6.114910960E-1,3.035515547E-3,2.893358469E-3,-2.389907837E-3,4.826752255E-3
6.161864090E-1,1.011760533E-2,2.423539758E-2,-1.423549652E-2,2.987255922E-2
6.208817210E-1,3.609636426E-2,9.777456522E-3,-1.886463165E-2,4.188580304E-2
6.255770340E-1,1.682865620E-2,-2.157598734E-3,-4.468917847E-3,1.754508844E-2
6.302722940E-1,4.868477583E-3,-4.473328590E-3,2.687454224E-3,7.136886776E-3
6.349676070E-1,4.872366786E-3,2.693414688E-3,-2.343559265E-2,2.408778619E-2
6.396629190E-1,-4.643589258E-3,2.681821585E-3,-1.137542725E-2,1.257598637E-2
6.443582320E-1,7.248267531E-3,-4.448920488E-3,-4.160881042E-3,9.468009652E-3
6.490535440E-1,-1.177722216E-2,5.117595196E-3,1.011276245E-2,1.634505144E-2
6.537488050E-1,2.631887794E-3,-1.392620802E-2,-1.834869385E-3,1.429100587E-2
6.584441170E-1,-2.582018077E-2,2.810835838E-3,-4.191398621E-3,2.630875055E-2
6.631394300E-1,-6.663292646E-3,-1.946866512E-3,1.007938385E-2,1.223861663E-2
6.678347420E-1,-1.133646071E-2,1.231688261E-2,2.877235413E-3,1.698527074E-2
6.725300550E-1,-1.359871030E-2,2.761840820E-3,-6.636619568E-3,1.538172311E-2
6.772253150E-1,-1.106894016E-2,2.750277519E-3,7.658004761E-3,1.373792196E-2
6.819206280E-1,-1.096053421E-2,-4.380404949E-3,1.471328735E-2,1.886271673E-2
6.866159400E-1,-3.698395193E-2,-1.987874508E-3,5.098342896E-3,3.738659446E-2
6.913112530E-1,-1.066356897E-3,-1.148030162E-2,9.801864624E-3,1.513310914E-2
6.960065650E-1,-1.762318611E-2,-6.628036499E-3,2.158546448E-2,2.864332092E-2
7.007018260E-1,-2.220593393E-2,-1.816183329E-3,-4.694938660E-3,2.276937576E-2
7.053971380E-1,6.497278810E-3,-4.162430763E-3,8.964538574E-5,7.716767334E-3
7.100924510E-1,8.773773909E-3,-1.714468002E-3,8.869171143E-5,8.940155220E-3
7.147877630E-1,1.541569829E-3,-6.435096264E-3,9.579658508E-3,1.164288446E-2
7.194830230E-1,1.518383622E-3,-1.626074314E-3,-7.110595703E-3,7.450515268E-3
7.241783360E-1,3.867372870E-3,-1.602292061E-3,2.439498901E-3,4.845107600E-3
7.288736480E-1,-3.323942423E-3,7.913440466E-3,-7.073402405E-3,1.112223695E-2
7.335689610E-1,1.804663241E-2,-1.112407446E-2,1.039505005E-4,2.119992405E-2
7.382642730E-1,1.316665113E-2,-3.930181265E-3,1.196765900E-2,1.822174219E-2
7.429595340E-1,2.488090098E-2,-1.542031765E-3,7.121086121E-3,2.592579725E-2
7.476548460E-1,2.700690925E-2,-1.810079813E-2,-2.429962158E-3,3.260240415E-2
7.523501590E-1,2.439682186E-2,1.056376100E-2,-3.719329834E-5,2.658569816E-2
7.570454710E-1,1.709192991E-2,5.768507719E-3,-2.407073975E-3,1.819900422E-2
7.617407840E-1,2.174153924E-2,8.102893829E-3,2.358436584E-3,2.332195618E-2
7.664360440E-1,1.451538503E-2,-3.847092390E-3,2.339363098E-3,1.519766897E-2
7.711313570E-1,3.099335730E-2,-8.550584316E-3,7.066726685E-3,3.291867730E-2
7.758266690E-1,1.414197683E-2,1.285851002E-2,-7.229804993E-3,2.043543170E-2
7.805219820E-1,1.166920364E-2,-1.574194431E-2,-4.796028137E-3,2.017377035E-2
7.852172420E-1,2.069205046E-3,1.009643078E-3,-1.899433136E-2,1.913336386E-2
7.899125550E-1,-2.676740289E-3,1.050296426E-2,-2.223968506E-3,1.106450327E-2
7.946078670E-1,-2.636462450E-3,3.306418657E-3,-4.577636719E-3,6.232021864E-3
7.993031800E-1,-4.971206188E-3,1.515415311E-2,2.059936523E-4,1.595003702E-2
8.039984400E-1,-1.961588860E-4,1.032125950E-2,9.697914124E-3,1.416391239E-2
8.086937530E-1,-9.669899940E-3,2.448335290E-2,2.498626709E-3,2.644210032E-2
8.133890650E-1,4.692450166E-3,1.239746809E-2,4.851341248E-3,1.411565852E-2
8.180843780E-1,-9.482875466E-3,7.587552071E-3,7.187843323E-3,1.411244009E-2
8.227796900E-1,-1.404763758E-2,4.159212112E-4,2.384185791E-3,1.425459414E-2
8.274749510E-1,-1.385599375E-2,-6.696611643E-3,2.366065979E-3,1.557020997E-2
8.321702630E-1,-1.609635353E-2,-1.913130283E-3,-1.189041138E-2,2.010309795E-2
8.368655760E-1,-3.018333018E-2,5.148649216E-4,-2.297401428E-3,3.027501544E-2
8.415608880E-1,-1.095998287E-2,2.662250400E-2,-1.651477814E-2,3.319061374E-2
8.462561480E-1,-1.322627068E-2,2.641212940E-2,-1.400470734E-2,3.269046716E-2
8.509514610E-1,-6.009548903E-3,1.011490822E-4,-1.388835907E-2,1.513312350E-2
8.556467730E-1,-1.546315849E-2,4.856914282E-3,1.470184326E-2,2.188248345E-2
8.603420860E-1,-1.777592301E-2,4.827290773E-3,3.404617310E-4,1.842286865E-2
8.650373460E-1,-8.177608252E-3,-4.693001509E-3,-6.781578064E-3,1.161410095E-2
8.697326590E-1,1.370832324E-3,1.431107521E-2,-1.979827881E-3,1.451226286E-2
8.744279710E-1,-8.144274354E-3,7.084012032E-3,-1.963615417E-3,1.097124499E-2
8.791232840E-1,1.089541614E-2,-2.484619617E-3,5.169868469E-3,1.231304055E-2
8.838185440E-1,1.316535473E-2,7.066756487E-3,7.500648499E-3,1.671901134E-2
8.885138570E-1,-1.107975841E-3,2.243995667E-3,2.692222595E-3,3.675756999E-3
8.932091690E-1,1.315471530E-2,2.119091153E-2,-2.075195312E-3,2.502813820E-2
8.979044820E-1,1.140251756E-3,4.415005445E-3,3.128051758E-4,4.570590140E-3
9.025997940E-1,8.238151670E-3,1.385164261E-2,1.217365265E-2,2.019735044E-2
9.072950550E-1,1.058773696E-2,1.853674650E-3,1.207256317E-2,1.616425270E-2
9.119903670E-1,3.340423107E-3,1.849085093E-3,4.853248596E-3,6.175076044E-3
9.166856800E-1,5.615800619E-3,1.845151186E-3,1.667594910E-2,1.769262778E-2
9.213809400E-1,1.976494491E-2,-5.305677652E-3,-4.820823669E-3,2.102483302E-2
9.260762530E-1,3.379708529E-2,1.839667559E-3,-2.409934998E-3,3.393280326E-2
