sample,time_s,az_ms2
0,0.000000,0.003591
1,0.004789,-0.018344
2,0.009578,-0.002990
3,0.014367,0.001437
4,0.019156,0.017149
5,0.023945,-0.003761
6,0.028734,0.009272
7,0.033523,-0.017282
8,0.038312,-0.019860
9,0.043101,-0.013705
10,0.047890,-0.003790
11,0.052679,-0.003499
12,0.057469,-0.007692
13,0.062258,0.010688
14,0.067047,0.005536
15,0.071836,-0.006049
16,0.076625,-0.001193
17,0.081414,-0.014732
18,0.086203,-0.004902
19,0.090992,-0.004668
20,0.095781,0.006963
21,0.100570,-0.007075
22,0.105359,-0.015954
23,0.110148,-0.010722
24,0.114937,0.001192
25,0.119726,0.012669
26,0.124515,0.005293
27,0.129304,0.000487
28,0.134093,0.009722
29,0.138882,0.016356
30,0.143671,-0.005019
31,0.148460,0.002093
32,0.153249,0.009000
33,0.158038,0.004096
34,0.162828,0.003983
35,0.167617,0.013189
36,0.172406,-0.005797
37,0.177195,0.001347
38,0.181984,-0.008018
39,0.186773,-0.017161
40,0.191562,-0.002740
41,0.196351,-0.028387
42,0.201140,0.019027
43,0.205929,0.020942
44,0.210718,-0.012282
45,0.215507,0.009056
46,0.220296,0.032299
47,0.225085,-0.022270
48,0.229783,-0.017135
49,0.234478,0.018389
50,0.239173,-0.012470
51,0.243868,-0.016929
52,0.248564,-0.002525
53,0.253259,-0.000129
54,0.257954,-0.002476
55,0.262649,-0.009485
56,0.267344,-0.014025
57,0.272040,0.005032
58,0.276735,0.007301
59,0.281430,-0.023416
60,0.286125,-0.015976
61,0.290820,-0.008658
62,0.295516,-0.010880
63,0.300211,0.005777
64,0.304906,-0.006093
65,0.309601,-0.008360
66,0.314296,0.003551
67,0.318992,0.001140
68,0.323687,0.012917
69,0.328382,0.022173
70,0.333077,0.014789
71,0.337772,0.007508
72,0.342468,0.000325
73,0.347163,0.002681
74,0.351858,-0.004438
75,0.356553,0.002705
76,0.361248,-0.004417
77,0.365943,-0.016173
78,0.370639,0.000566
79,0.375346,0.014740
80,0.380029,0.000378
81,0.384724,0.021647
82,0.389419,-0.002253
83,0.394115,0.000140
84,0.398810,0.011964
85,0.403505,0.000000
86,0.408200,0.004730
87,0.412895,-0.000055
88,0.417591,-0.014253
89,0.422286,-0.016464
90,0.426981,0.002648
91,0.431676,0.004988
92,0.436371,-0.016373
93,0.441067,0.016947
94,0.445762,-0.011643
95,0.450457,-0.002050
96,0.455152,0.007444
97,0.459847,-0.018687
98,0.464543,-0.004286
99,0.469238,0.005236
100,0.473933,0.002815
101,0.478628,-0.004321
102,0.483323,-0.006649
103,0.488018,-0.013696
104,0.492714,-0.006454
105,0.497409,-0.004025
106,0.502104,0.007868
107,0.506799,0.005426
108,0.511494,0.005379
109,0.516190,-0.004156
110,0.520885,0.000624
111,0.525580,-0.001752
112,0.530275,-0.018340
113,0.534970,-0.013436
114,0.539666,-0.015692
115,0.544361,-0.010814
116,0.549056,0.003513
117,0.553751,-0.015495
118,0.558446,-0.003501
119,0.563142,0.006022
120,0.567837,0.003600
121,0.572532,-0.008294
122,0.577227,-0.010600
123,0.581922,-0.008139
124,0.586617,0.001421
125,0.591313,-0.000965
126,0.596008,-0.003330
127,0.600703,0.008563
128,0.605398,-0.003372
129,0.610093,0.025131
130,0.614789,0.001192
131,0.619484,0.015420
132,0.624179,0.024785
133,0.628874,-0.008640
134,0.633569,-0.003822
135,0.638265,-0.008535
136,0.642960,0.003401
137,0.647655,0.012863
138,0.652350,0.003263
139,0.657045,-0.006252
140,0.661741,-0.018066
141,0.666436,0.003441
142,0.671131,0.003414
143,0.675826,0.003386
144,0.680521,0.000985
145,0.685216,-0.006141
146,0.689912,0.001029
147,0.694607,0.005769
148,0.699302,-0.003772
149,0.703997,0.005751
150,0.708692,0.005701
151,0.713388,0.000908
152,0.718083,-0.001472
153,0.722778,-0.015696
154,0.727473,0.005792
155,0.732168,-0.003749
156,0.736864,0.017639
157,0.741559,0.008001
158,0.746254,0.003187
159,0.750949,-0.001585
160,0.755644,0.017412
161,0.760340,-0.006461
162,0.765035,-0.001662
163,0.769730,0.007842
164,0.774425,-0.011208
165,0.779120,-0.015860
166,0.783815,-0.001491
167,0.788511,0.008013
168,0.793206,0.010319
169,0.797901,0.012605
170,0.802596,0.003008
171,0.807291,-0.011255
172,0.811987,-0.011161
173,0.816682,-0.001575
174,0.821377,-0.011054
175,0.826072,-0.003842
176,0.830767,-0.003809
177,0.835463,-0.001404
178,0.840158,-0.001391
179,0.844853,-0.006125
180,0.849548,-0.008449
181,0.854243,0.005861
182,0.858939,0.003440
183,0.863634,0.005785
184,0.868329,0.005738
185,0.873024,0.000944
186,0.877719,0.008056
187,0.882414,-0.015741
188,0.887110,0.010492
189,0.891805,0.005661
190,0.896500,0.012733
191,0.901195,0.005507
192,0.905890,0.000713
193,0.910586,-0.008784
194,0.915281,-0.003965
195,0.919976,0.005559
196,0.924671,0.000765
197,0.929366,0.005506
198,0.934062,0.000713
199,0.938757,0.017319
200,0.943452,0.000566
201,0.948147,-0.011300
202,0.952842,-0.011207
203,0.957538,0.012615
204,0.962233,0.005394
205,0.966928,-0.006516
206,0.971623,-0.004089
207,0.976318,-0.013547
208,0.981013,-0.008689
209,0.985709,0.000876
210,0.990404,-0.006246
211,0.995099,0.000924
212,0.999794,-0.003828
213,1.004489,-0.001423
214,1.009185,-0.001412
215,1.013880,0.010464
216,1.018575,0.017496
217,1.023270,0.000740
218,1.027965,-0.022994
219,1.032661,0.012792
220,1.037356,0.005569
221,1.042051,0.005522
222,1.046746,0.000731
223,1.051441,0.014962
224,1.056137,0.010091
225,1.060832,0.005263
